update,n_simul_rounds,wall_time_s,t_dist_s,t_collect_s,t_gae_s,t_ppo_s,n_finished,n_won,win_rate,avg_ep_len,avg_reward,p_loss,v_loss,entropy,vram_alloc_before_mb,vram_reserved_before_mb,vram_alloc_after_mb,vram_reserved_after_mb
320,1,594.656,0.156,420.324,0.0226,170.694,7,6,0.8571,4681.14,17.142857,0.000293,0.516553,1.905210,33.8,158.0,34.2,172.0
321,1,656.162,0.138,411.392,0.0222,240.868,9,9,1.0000,3640.89,20.000000,0.003151,0.424054,1.811926,34.2,172.0,34.2,154.0
322,1,643.063,0.147,425.209,0.0219,213.779,8,8,1.0000,4096.00,20.000000,0.008673,0.396705,1.675330,34.2,154.0,34.2,156.0
323,1,581.030,0.150,431.598,0.0216,145.168,5,5,1.0000,6553.60,20.000000,0.002970,0.271176,1.707538,34.2,156.0,34.2,158.0
324,1,712.887,0.089,384.892,0.0216,323.558,11,11,1.0000,2978.91,20.000000,0.007342,0.361221,1.693315,34.2,158.0,34.2,170.0
325,1,568.648,0.150,425.432,0.0209,139.602,7,4,0.5714,4681.14,11.428571,0.006713,0.305965,1.428348,34.2,170.0,34.2,166.0
326,1,741.619,0.077,436.716,0.0221,300.605,10,10,1.0000,3276.80,20.000000,-0.001431,0.391151,1.653121,34.2,166.0,34.2,178.0
327,1,644.783,0.090,410.439,0.0249,229.707,12,12,1.0000,2730.67,20.000000,0.005995,0.704154,1.548266,34.2,178.0,34.2,154.0
328,1,573.781,0.155,413.526,0.0278,156.017,5,4,0.8000,6553.60,16.000000,0.004909,0.231534,1.663742,34.2,154.0,34.2,162.0
329,1,665.359,0.148,416.745,0.0215,244.142,7,7,1.0000,4681.14,20.000000,-0.001741,0.410051,1.833127,34.2,162.0,34.2,164.0
330,1,609.027,0.149,420.012,0.0215,184.331,13,12,0.9231,2520.62,18.461538,0.002170,0.713734,1.369131,34.2,164.0,34.2,140.0
331,1,667.852,0.153,438.724,0.0214,224.704,6,5,0.8333,5461.33,16.666667,0.002812,0.452421,1.911616,34.2,140.0,34.2,158.0
332,1,735.975,0.152,445.540,0.0215,285.281,11,10,0.9091,2978.91,18.181818,0.004685,0.613625,1.669671,34.2,158.0,34.2,158.0
333,1,717.693,0.150,418.577,0.0230,293.673,10,10,1.0000,3276.80,21.000000,0.005421,0.457342,1.770322,34.2,158.0,34.2,166.0
334,1,532.460,0.156,462.613,0.0208,65.343,5,4,0.8000,6553.60,16.000000,0.006168,0.612550,1.736635,34.2,166.0,34.2,156.0
335,1,676.655,0.091,460.755,0.0227,211.381,13,10,0.7692,2520.62,15.384615,0.004584,0.601740,1.678544,34.2,156.0,34.2,158.0
336,1,634.254,0.150,435.916,0.0239,193.669,8,8,1.0000,4096.00,20.000000,0.007188,0.522579,1.606736,34.2,158.0,34.2,164.0
337,1,546.596,0.148,437.062,0.0213,105.172,4,3,0.7500,8192.00,15.000000,0.004009,0.166891,2.157022,34.2,164.0,34.2,162.0
338,1,648.319,0.084,423.813,0.0209,220.146,8,7,0.8750,4096.00,17.500000,0.005759,0.244402,1.932214,34.2,162.0,34.2,166.0
339,1,527.320,0.075,445.436,0.0217,77.966,2,2,1.0000,16384.00,20.000000,-0.002615,0.178259,2.066172,34.2,166.0,34.2,176.0
340,1,512.500,0.127,402.571,0.0217,105.744,4,4,1.0000,8192.00,20.000000,0.007019,0.313927,1.773239,34.2,176.0,34.2,152.0
341,1,561.093,0.078,443.924,0.0243,113.014,3,3,1.0000,10922.67,20.000000,0.009977,0.131394,1.777443,34.2,152.0,34.2,150.0
342,1,643.817,0.140,450.448,0.0216,188.633,6,5,0.8333,5461.33,16.666667,0.007861,0.310237,1.893160,34.2,150.0,34.2,152.0
343,1,598.201,0.138,418.457,0.0239,175.560,4,4,1.0000,8192.00,20.000000,0.006171,0.312407,1.979782,34.2,152.0,34.2,156.0
344,1,679.378,0.087,456.205,0.0217,218.814,5,5,1.0000,6553.60,20.000000,-0.000384,0.432721,1.808559,34.2,156.0,34.2,180.0
345,1,669.978,0.081,417.829,0.0212,247.153,11,9,0.8182,2978.91,16.363636,0.004824,0.357875,1.792406,34.2,180.0,34.2,172.0
346,1,611.346,0.143,423.438,0.0258,183.157,8,8,1.0000,4096.00,21.250000,0.012610,0.363961,1.743486,34.2,172.0,34.2,168.0
347,1,693.511,0.141,406.421,0.0218,281.844,7,7,1.0000,4681.14,20.000000,0.006453,0.250755,1.822944,34.2,168.0,34.2,162.0
348,1,671.445,0.085,419.245,0.0225,247.636,13,11,0.8462,2520.62,17.692308,0.004170,0.423443,1.718678,34.2,162.0,34.2,152.0
349,1,684.488,0.130,401.830,0.0213,278.134,8,8,1.0000,4096.00,20.000000,0.001332,0.473677,1.874296,34.2,152.0,34.2,162.0
350,1,678.805,0.150,418.051,0.0220,255.523,8,8,1.0000,4096.00,20.000000,0.006198,0.261889,1.809759,34.2,162.0,34.2,152.0
351,1,727.259,0.146,417.630,0.0210,304.360,13,12,0.9231,2520.62,18.461538,0.001892,0.452878,1.945946,34.2,152.0,34.2,154.0
352,1,876.580,0.081,433.477,0.0221,437.914,12,12,1.0000,2730.67,20.000000,-0.000245,0.338937,1.885444,34.2,154.0,34.2,158.0
353,1,704.890,0.090,396.930,0.0212,302.510,12,12,1.0000,2730.67,20.000000,0.004094,0.280228,1.940167,34.2,158.0,34.2,148.0
354,1,842.407,0.148,415.367,0.0217,421.990,11,10,0.9091,2978.91,18.181818,-0.002317,0.392599,1.820268,34.2,148.0,34.2,156.0
355,1,726.280,0.079,404.683,0.0217,315.994,16,15,0.9375,2048.00,18.750000,0.005434,0.357941,1.689664,34.2,156.0,34.2,154.0
356,1,795.839,0.143,392.457,0.0216,398.529,12,12,1.0000,2730.67,20.000000,0.002471,0.400527,1.759899,34.2,154.0,34.2,158.0
357,1,752.008,0.080,416.272,0.0222,329.554,14,14,1.0000,2340.57,20.000000,0.002583,0.414631,1.825903,34.2,158.0,34.2,156.0
358,1,622.555,0.141,401.965,0.0228,216.276,8,6,0.7500,4096.00,15.000000,0.006005,0.254997,1.942710,34.2,156.0,34.2,166.0
359,1,529.951,0.085,386.337,0.0267,139.097,5,5,1.0000,6553.60,20.000000,0.008742,0.242069,1.955761,34.2,166.0,34.2,156.0
360,1,694.003,0.089,390.154,0.0243,299.615,10,9,0.9000,3276.80,18.000000,0.000662,0.396953,1.890751,34.2,156.0,34.2,152.0
361,1,835.886,0.132,416.446,0.0237,413.867,13,13,1.0000,2520.62,20.000000,0.000241,0.420389,1.863106,34.2,152.0,34.2,168.0
362,1,634.034,0.086,416.600,0.0213,212.882,8,8,1.0000,4096.00,20.000000,0.000633,0.383805,1.637874,34.2,168.0,34.2,134.0
363,1,537.752,0.079,405.865,0.0210,127.385,7,7,1.0000,4681.14,20.000000,0.009974,0.681933,1.572578,34.2,134.0,34.2,168.0
364,1,617.921,0.092,421.881,0.0222,191.763,9,9,1.0000,3640.89,20.000000,0.004874,0.469098,1.917707,34.2,168.0,34.2,148.0
365,1,720.480,0.136,429.117,0.0211,286.411,9,8,0.8889,3640.89,17.777778,0.004409,0.303540,1.917887,34.2,148.0,34.2,166.0
366,2,919.827,0.281,866.993,0.0256,44.620,2,1,0.5000,16384.00,10.000000,0.007172,0.338422,1.777055,34.2,166.0,34.2,164.0
367,1,618.808,0.085,458.046,0.0217,156.026,6,6,1.0000,5461.33,20.000000,0.007667,0.378058,1.877239,34.2,164.0,34.2,158.0
368,1,679.733,0.141,437.867,0.0243,237.080,8,8,1.0000,4096.00,20.000000,0.007963,0.470921,1.914109,34.2,158.0,34.2,160.0
369,1,675.579,0.160,441.250,0.0256,229.495,9,7,0.7778,3640.89,15.555556,0.008131,0.341075,1.674760,34.2,160.0,34.2,170.0
370,1,762.252,0.079,431.967,0.0217,324.606,9,9,1.0000,3640.89,20.000000,0.008696,0.232300,1.791939,34.2,170.0,34.2,154.0
371,1,457.103,0.091,424.207,0.0217,28.344,1,1,1.0000,32768.00,20.000000,0.004889,0.216981,1.559876,34.2,154.0,34.2,148.0
372,1,711.232,0.146,447.722,0.0245,258.296,10,9,0.9000,3276.80,18.000000,0.006115,0.501414,1.914945,34.2,148.0,34.2,174.0
373,1,569.291,0.083,419.487,0.0216,144.679,5,5,1.0000,6553.60,20.000000,0.009573,0.344710,1.965207,34.2,174.0,34.2,156.0
374,1,552.558,0.152,446.525,0.0209,101.399,4,3,0.7500,8192.00,15.000000,0.011201,0.286057,1.776326,34.2,156.0,34.2,156.0
